"","slice","avgAC","subj","hemi","roi"
"345",2,64932.4274553571,130114,"R","subiculum"
"346",3,63277.6121651786,130114,"R","subiculum"
"347",4,56356.9557291667,130114,"R","subiculum"
"348",5,49791.5022321429,130114,"R","subiculum"
"349",6,54765.7260742188,130114,"R","subiculum"
"350",7,54974.4735243056,130114,"R","subiculum"
"351",8,47688.306640625,130114,"R","subiculum"
"352",9,70033.2041015625,130114,"R","subiculum"
"353",10,53689.9682617188,130114,"R","subiculum"
"354",11,103593.282924107,130114,"R","subiculum"
"355",12,78257.796875,130114,"R","subiculum"
"356",13,49027.431640625,130114,"R","subiculum"
"357",14,47687.263671875,130114,"R","subiculum"
"358",15,47172.7721354167,130114,"R","subiculum"
"359",16,72322.8256835938,130114,"R","subiculum"
"360",17,76271.6813616071,130114,"R","subiculum"
"361",18,70497.1852678571,130114,"R","subiculum"
"362",19,61613.2873263889,130114,"R","subiculum"
"363",1,43896.7488839286,130114,"R","SRLM"
"364",2,49749.271484375,130114,"R","SRLM"
"365",3,52601.837890625,130114,"R","SRLM"
"366",4,51081.0479910714,130114,"R","SRLM"
"367",5,47899.6618303571,130114,"R","SRLM"
"368",6,58106.52578125,130114,"R","SRLM"
"369",7,51135.623046875,130114,"R","SRLM"
"370",8,45269.63671875,130114,"R","SRLM"
"371",9,50259.1471354167,130114,"R","SRLM"
"372",10,45447.90390625,130114,"R","SRLM"
"373",11,48520.7532552083,130114,"R","SRLM"
"374",12,68504.2333984375,130114,"R","SRLM"
"375",13,70189.38671875,130114,"R","SRLM"
"376",14,77354.798046875,130114,"R","SRLM"
"377",15,75120.8309659091,130114,"R","SRLM"
"378",16,72623.21875,130114,"R","SRLM"
"379",17,70591.1004464286,130114,"R","SRLM"
"380",18,58241.8009868421,130114,"R","SRLM"
"381",19,56613.6731770833,130114,"R","SRLM"
"382",20,51892.5859375,130114,"R","SRLM"
"383",1,34111.9947916667,130518,"L","CA1"
"384",2,34524.4505615234,130518,"L","CA1"
"385",3,33979.6418585526,130518,"L","CA1"
"386",4,29528.5729980469,130518,"L","CA1"
"387",5,40360.2398158482,130518,"L","CA1"
"388",6,37470.4688895089,130518,"L","CA1"
"389",7,45038.1746961806,130518,"L","CA1"
"390",8,34007.387890625,130518,"L","CA1"
"391",9,31528.4813565341,130518,"L","CA1"
"392",10,31448.0202414773,130518,"L","CA1"
"393",11,34327.4690755208,130518,"L","CA1"
"394",12,41762.7043678977,130518,"L","CA1"
"395",13,39538.8792724609,130518,"L","CA1"
"396",14,45875.5572415865,130518,"L","CA1"
"397",15,38458.1974158654,130518,"L","CA1"
"398",16,38032.0310872396,130518,"L","CA1"
"399",17,44540.5844029018,130518,"L","CA1"
"400",18,53393.4701450893,130518,"L","CA1"
"401",19,43271.7282986111,130518,"L","CA1"
"402",20,36613.9435847356,130518,"L","CA1"
"403",21,34142.89453125,130518,"L","CA1"
"404",22,28615.2921006944,130518,"L","CA1"
"405",1,51005.4615885417,130518,"L","CA4DG"
"406",2,52060.2060546875,130518,"L","CA4DG"
"407",3,50388.6044921875,130518,"L","CA4DG"
"408",4,54377.952734375,130518,"L","CA4DG"
"409",5,43794.934375,130518,"L","CA4DG"
"410",6,38015.4331054688,130518,"L","CA4DG"
"411",7,56002.4817708333,130518,"L","CA4DG"
"412",8,45738.046484375,130518,"L","CA4DG"
"413",9,54608.2311197917,130518,"L","CA4DG"
"414",10,77788.16796875,130518,"L","CA4DG"
"415",11,57778.391015625,130518,"L","CA4DG"
"416",12,57788.5828125,130518,"L","CA4DG"
"417",13,70602.658203125,130518,"L","CA4DG"
"418",14,50452.9431423611,130518,"L","CA4DG"
"419",15,45956.2966974432,130518,"L","CA4DG"
"420",16,36649.7155761719,130518,"L","CA4DG"
"421",17,24661.841796875,130518,"L","CA4DG"
"422",1,64628.5275213068,130518,"L","CA2CA3"
"423",2,38014.5748046875,130518,"L","CA2CA3"
"424",3,47713.5830078125,130518,"L","CA2CA3"
"425",4,43310.1134765625,130518,"L","CA2CA3"
"426",5,37918.7170758929,130518,"L","CA2CA3"
"427",6,51357.2495117188,130518,"L","CA2CA3"
"428",7,40282.745703125,130518,"L","CA2CA3"
"429",8,42913.0909598214,130518,"L","CA2CA3"
"430",9,55591.084375,130518,"L","CA2CA3"
"431",10,35582.7670200893,130518,"L","CA2CA3"
"432",11,64399.5940755208,130518,"L","CA2CA3"
"433",12,41745.1442057292,130518,"L","CA2CA3"
"434",13,57704.943359375,130518,"L","CA2CA3"
"435",14,72490.5201822917,130518,"L","CA2CA3"
"436",15,73713.4094238281,130518,"L","CA2CA3"
"437",16,68174.4092548077,130518,"L","CA2CA3"
"438",17,40550.5817522321,130518,"L","CA2CA3"
"439",18,54853.1404296875,130518,"L","CA2CA3"
"440",1,48685.6396484375,130518,"L","subiculum"
"441",2,39225.3774414062,130518,"L","subiculum"
"442",3,34576.5288085938,130518,"L","subiculum"
"443",4,34015.5424107143,130518,"L","subiculum"
"444",5,39989.1236979167,130518,"L","subiculum"
"445",6,35445.7874644886,130518,"L","subiculum"
"446",7,45195.4632161458,130518,"L","subiculum"
"447",8,63265.5427517361,130518,"L","subiculum"
"448",9,61612.2041015625,130518,"L","subiculum"
"449",10,52969.4392361111,130518,"L","subiculum"
"450",11,53826.4969618056,130518,"L","subiculum"
"451",12,53652.3119419643,130518,"L","subiculum"
"452",13,52398.7136230469,130518,"L","subiculum"
"453",14,46059.6811523438,130518,"L","subiculum"
"454",15,96192.4234375,130518,"L","subiculum"
"455",16,107093.323046875,130518,"L","subiculum"
"456",17,57717.334375,130518,"L","subiculum"
"457",18,55503.3370768229,130518,"L","subiculum"
"458",19,46566.6766183036,130518,"L","subiculum"
"459",20,39466.55078125,130518,"L","subiculum"
