"","slice","avgAC","subj","hemi","roi"
"343",3,52123.810546875,134627,"L","SRLM"
"344",4,51980.0478515625,134627,"L","SRLM"
"345",5,54961.1765136719,134627,"L","SRLM"
"346",6,50555.9435546875,134627,"L","SRLM"
"347",7,39874.7146935096,134627,"L","SRLM"
"348",8,33091.4297851563,134627,"L","SRLM"
"349",9,32721.0988898026,134627,"L","SRLM"
"350",10,38641.7937825521,134627,"L","SRLM"
"351",1,40293.3681640625,134627,"R","CA1"
"352",2,46396.371030746,134627,"R","CA1"
"353",3,46609.3595145089,134627,"R","CA1"
"354",4,45538.181640625,134627,"R","CA1"
"355",5,47188.1206597222,134627,"R","CA1"
"356",6,45621.1806152344,134627,"R","CA1"
"357",7,41034.5445033482,134627,"R","CA1"
"358",8,45833.6682942708,134627,"R","CA1"
"359",9,43506.6583984375,134627,"R","CA1"
"360",10,44442.1538318452,134627,"R","CA1"
"361",11,42428.5341282895,134627,"R","CA1"
"362",12,36211.7799479167,134627,"R","CA1"
"363",13,34603.9760742188,134627,"R","CA1"
"364",14,19869.578125,134627,"R","CA1"
"365",1,49521.9939453125,134627,"R","CA4DG"
"366",2,41022.5776909722,134627,"R","CA4DG"
"367",3,49337.9556039663,134627,"R","CA4DG"
"368",4,41464.2686631944,134627,"R","CA4DG"
"369",5,36846.7449951172,134627,"R","CA4DG"
"370",6,56179.9575639205,134627,"R","CA4DG"
"371",7,52281.4775390625,134627,"R","CA4DG"
"372",8,29049.8383789062,134627,"R","CA4DG"
"373",1,24114.6015625,134627,"R","CA2CA3"
"374",2,45959.3752441406,134627,"R","CA2CA3"
"375",3,32542.8419799805,134627,"R","CA2CA3"
"376",4,42956.6144748264,134627,"R","CA2CA3"
"377",5,44049.7536458333,134627,"R","CA2CA3"
"378",6,58798.4005301339,134627,"R","CA2CA3"
"379",7,55592.3069661458,134627,"R","CA2CA3"
"380",8,75811.2537109375,134627,"R","CA2CA3"
"381",9,166884.390269886,134627,"R","CA2CA3"
"382",10,49017.0776909722,134627,"R","CA2CA3"
"383",11,34612.7054036458,134627,"R","CA2CA3"
"384",12,34510.0751953125,134627,"R","CA2CA3"
"385",13,20684.375,134627,"R","CA2CA3"
"386",1,35121.38671875,134627,"R","subiculum"
"387",2,45545.7751464844,134627,"R","subiculum"
"388",3,47396.91734375,134627,"R","subiculum"
"389",4,46221.504699707,134627,"R","subiculum"
"390",5,44189.4611879006,134627,"R","subiculum"
"391",6,37824.2220284598,134627,"R","subiculum"
"392",7,36807.1447916667,134627,"R","subiculum"
"393",8,24819.1266741071,134627,"R","subiculum"
"394",1,41310.89453125,134627,"R","SRLM"
"395",2,45204.2725183823,134627,"R","SRLM"
"396",3,45209.6126598011,134627,"R","SRLM"
"397",4,49457.1759375,134627,"R","SRLM"
"398",5,39643.1343410326,134627,"R","SRLM"
"399",6,39259.97265625,134627,"R","SRLM"
"400",7,41871.2126116071,134627,"R","SRLM"
"401",8,54870.755078125,134627,"R","SRLM"
"402",9,56544.5328584559,134627,"R","SRLM"
"403",10,33194.5864257812,134627,"R","SRLM"
"404",11,45550.284765625,134627,"R","SRLM"
"405",12,81964.26953125,134627,"R","SRLM"
"406",1,149619.1890625,135124,"L","CA1"
"407",2,39941.7732421875,135124,"L","CA1"
"408",3,30929.4346590909,135124,"L","CA1"
"409",4,26219.1739908854,135124,"L","CA1"
"410",5,26272.5916883681,135124,"L","CA1"
"411",6,25819.8193359375,135124,"L","CA1"
"412",7,26604.6982717803,135124,"L","CA1"
"413",8,28023.5639204545,135124,"L","CA1"
"414",9,28023.6634908537,135124,"L","CA1"
"415",10,27796.4023030599,135124,"L","CA1"
"416",11,23339.4539198765,135124,"L","CA1"
"417",1,26176.515625,135124,"L","CA4DG"
"418",2,33066.6761067708,135124,"L","CA4DG"
"419",3,33980.7033025568,135124,"L","CA4DG"
"420",4,38168.06953125,135124,"L","CA4DG"
"421",5,36155.0453125,135124,"L","CA4DG"
"422",6,30010.7582465278,135124,"L","CA4DG"
"423",7,26706.5064019097,135124,"L","CA4DG"
"424",1,36592.2024739583,135124,"L","CA2CA3"
"425",2,73509.7937011719,135124,"L","CA2CA3"
"426",3,43782.0121372768,135124,"L","CA2CA3"
"427",4,34138.5838623047,135124,"L","CA2CA3"
"428",5,31715.4994419643,135124,"L","CA2CA3"
"429",6,30414.5703776042,135124,"L","CA2CA3"
"430",7,32216.2811523437,135124,"L","CA2CA3"
"431",8,32108.426574707,135124,"L","CA2CA3"
"432",9,31883.6537873641,135124,"L","CA2CA3"
"433",10,30294.1772836538,135124,"L","CA2CA3"
"434",11,29852.822265625,135124,"L","CA2CA3"
"435",1,98279.03125,135124,"L","subiculum"
"436",2,106787.986328125,135124,"L","subiculum"
"437",3,46441.1264322917,135124,"L","subiculum"
"438",4,41070.534453125,135124,"L","subiculum"
"439",5,37787.33984375,135124,"L","subiculum"
"440",6,37750.6940673828,135124,"L","subiculum"
"441",7,33953.1168526786,135124,"L","subiculum"
"442",8,29033.4791217672,135124,"L","subiculum"
"443",9,27045.1668526786,135124,"L","subiculum"
"444",1,43199.94453125,135124,"L","SRLM"
"445",2,37893.3134765625,135124,"L","SRLM"
"446",3,35324.9739257812,135124,"L","SRLM"
"447",4,33042.1767578125,135124,"L","SRLM"
"448",5,32333.3567918347,135124,"L","SRLM"
"449",6,31935.5343868371,135124,"L","SRLM"
"450",7,28726.2520204741,135124,"L","SRLM"
"451",8,27143.3204900568,135124,"L","SRLM"
"452",9,25089.7382220644,135124,"L","SRLM"
"453",1,41792.0088355655,135124,"R","CA1"
"454",2,38905.4670608108,135124,"R","CA1"
"455",3,45805.1672794118,135124,"R","CA1"
"456",4,37752.15625,135124,"R","CA1"
"457",5,36447.1067405523,135124,"R","CA1"
"458",6,34814.2094851763,135124,"R","CA1"
"459",7,31086.506060432,135124,"R","CA1"
"460",8,30734.187906901,135124,"R","CA1"
"461",9,34539.5893930288,135124,"R","CA1"
"462",10,42744.974609375,135124,"R","CA1"
"463",11,44901.8218149038,135124,"R","CA1"
"464",12,60727.1714409722,135124,"R","CA1"
"465",13,70961.67578125,135124,"R","CA1"
"466",1,34820.7854352679,135124,"R","CA4DG"
"467",2,34111.2482524671,135124,"R","CA4DG"
"468",3,40309.4625651042,135124,"R","CA4DG"
"469",4,51218.8842397837,135124,"R","CA4DG"
"470",5,49818.4850643382,135124,"R","CA4DG"
"471",6,38618.4272460938,135124,"R","CA4DG"
"472",7,43214.7890625,135124,"R","CA4DG"
"473",8,49221.5221354167,135124,"R","CA4DG"
"474",1,38318.4671519886,135124,"R","CA2CA3"
"475",2,28972.3084960937,135124,"R","CA2CA3"
"476",3,32754.8445638021,135124,"R","CA2CA3"
"477",4,37787.837890625,135124,"R","CA2CA3"
"478",5,36688.3543836806,135124,"R","CA2CA3"
"479",6,32320.7574573864,135124,"R","CA2CA3"
"480",7,32379.48359375,135124,"R","CA2CA3"
"481",8,38462.197265625,135124,"R","CA2CA3"
"482",9,45696.6863606771,135124,"R","CA2CA3"
"483",10,40948.7994791667,135124,"R","CA2CA3"
"484",1,35736.328125,135124,"R","subiculum"
"485",2,29728.037109375,135124,"R","subiculum"
"486",3,33833.3272758152,135124,"R","subiculum"
"487",4,41997.8955915179,135124,"R","subiculum"
"488",5,41019.3947482639,135124,"R","subiculum"
"489",6,45399.7393329327,135124,"R","subiculum"
"490",7,57952.8235677083,135124,"R","subiculum"
"491",8,61052.7329799107,135124,"R","subiculum"
"492",9,86561.0336914062,135124,"R","subiculum"
"493",10,75313.259765625,135124,"R","subiculum"
"494",1,37387.9406550481,135124,"R","SRLM"
"495",2,34301.8185763889,135124,"R","SRLM"
"496",3,39012.5144042969,135124,"R","SRLM"
"497",4,38006.1151592548,135124,"R","SRLM"
"498",5,35246.8283617424,135124,"R","SRLM"
"499",6,45656.4457850302,135124,"R","SRLM"
"500",7,39849.0791829427,135124,"R","SRLM"
"501",8,45072.5412212171,135124,"R","SRLM"
"502",9,52452.0424804688,135124,"R","SRLM"
"503",10,63358.169921875,135124,"R","SRLM"
"504",11,62589.0771484375,135124,"R","SRLM"
"505",1,44368.882421875,146735,"L","CA1"
"506",2,42088.017578125,146735,"L","CA1"
